job_title,company,location,full_description,required_skills,min_experience_years,job_type
Data Analyst,Punyakar,"New Delhi, Delhi, India","Strong Analytical Skills and expertise in Data Analytics
Knowledge of Statistics and Data Modeling
Excellent Communication skills for presenting data insights
Proficient in data visualization tools and software (e.g., Tableau, Power BI)
Ability to work collaboratively in a team environment
Experience with programming languages like Python or R is a plus
Bachelor's degree in Data Science, Statistics, Computer Science, or related field","python,r",2,full time
Data Analyst,Barclays,"Noida, Uttar Pradesh, India ","To implement data quality process and procedures, ensuring that data is reliable and trustworthy, then extract actionable insights from it to help the organisation improve its operation, and optimise resources.

Accountabilities


Investigation and analysis of data issues related to quality, lineage, controls, and authoritative source identification.
Execution of data cleansing and transformation tasks to prepare data for analysis.
Designing and building data pipelines to automate data movement and processing.
Development and application of advanced analytical techniques, including machine learning and AI, to solve complex business problems.
Documentation of data quality findings and recommendations for improvement.","tableau,power bi,sql,python",0,internship
Lead Data Scientist - Mobile Gaming & Consumer Apps,Uplers,"Ghaziabad, Uttar Pradesh, India","Experience with free-to-play mechanics, subscription models, and evolving monetisation strategies in mobile apps.
Knowledge of programmatic advertising, real-time bidding systems, and the broader ad tech landscape.
Hands-on Familiarity with cloud platforms (AWS, GCP, Azure) and MLOps practices
Experience applying causal inference methods, incrementality testing, and advanced experimentation frameworks.
Proven ability to distill complex technical findings into clear insights for C-level and business stakeholders.
Previous experience in gaming companies, ad tech firms, or performance marketing agencies","Effective Communication, entrepreneurial mindset, Problem-Solving Excellence, Forecast Revenue, Data Science, Machine Learning",8,full time
Risk Consulting - Digital Risk - Senior - Dev Sec,EY,"Gurugram, Haryana, India","A bachelor’s or master’s degree and approximately 3-6 years of related work experience 
Minimum 3 years of professional experience in consulting or equivalent experience in industry, with at least 2 years of specific experience in AI ethics, responsible AI, or related fields, with a strong understanding of AI technologies and their ethical implications
IT Pre-implementation and Post implementation reviews.
Model Risk Management
AI Compliance and regulatory assessments – Risk and Controls assessment of AI/ML applications in line with AI related regulations and frameworks
Familiarity with regulatory frameworks and standards related to AI ethics, privacy and data protection 
Excellent written and verbal communication skills across technical and non-technical audiences
Willingness to stay updated with industry trends and AI regulatory requirements, and quickly adapt to client demands imposed by technical and regulatory change
Communication and critical thinking are essential – must be able to listen, understand the question and develop and deliver clear insights 
Independent and able to manage and prioritize workload 
Excellent communication, documentation and report writing skills.
Functional understanding of foundation models (LLMs) and associated risks. Awareness of the AI deployment lifecycle
Knowledge of Responsible AI principles, AI Ethics and AI Assurance
Ability to identify process level risk arising from the use of AI and develop mitigation strategies.
Good to have relevant industry certifications such as AIGP, CISA, CISM, CISSP, CRISC, CCSK, ISO 27001, and others (as relevant)","python,sql,r,java,scala,hadoop,hive,sap,oracle,ibm,tableau,power bi,aws,azure,google could",3,internship
Data Analytics,Deloitte,"Delhi, India","Strong hands-on experience analyzing large datasets in Excel, CSV, and API-based data sources.
Proficient in complex Excel formulas, pivot tables, and data visualization.
Business Rules Implementation: Experienced in designing and applying business logic within Excel models and automated workflows.
Expertise in handling raw data, applying formulas, and preparing structured datasets for insights.
Ability to work with large datasets efficiently, ensuring accuracy and speed in reporting.","excel,api,data visualization",6,full time
Sr Data Engineer,Aristocrat,"Noida, Uttar Pradesh, India","Architect scalable, secure, and cost-efficient batch data platforms 
Spearhead the creation and establishment of data pipelines with Airflow and dbt 
Develop and review Snowflake-based models, storage layers, and warehouse optimization strategies 
Write and review production-level SQL and Python code for data workflows and utilities 
Ensure data quality and observability practices are integrated from the ground up 
Collaborate with multi-functional teams to define solutions that meet analytics and reporting needs 
Guide and mentor data engineers, conduct architectural reviews, and improve engineering standards 
Evaluate and integrate emerging tools, frameworks, and cloud-native solutions","python,sql,aws,azure,git,power bi",5,full time
Data Analytics Internship,Scoutit,"Noida, Uttar Pradesh, India","Build & maintain backend data processes and pipelines.
Write optimized SQL queries for data extraction & analysis.
Create and manage performance dashboards.
Automate recurring reports for business tracking.
Generate actionable insights from data to support decision-making.",sql,0,full time
Business Analyst - SQL/Python,WeCredit,"Delhi, Delhi, India","Business Knowledge : Strong understanding of financial technology, banking, investing, insurance, and risk management
 Communication Skills : Ability to effectively collaborate with cross-functional teams and stakeholders
 Problem-Solving Skills : Proficiency in analyzing complex business problems and identifying effective solutions
 Critical Thinking Skills : Capacity to interpret trends, evaluate methods, and provide data-driven insights
 System/Technical Skills : Familiarity with data analysis tools (e.g., SQL, Excel, Tableau),","sql,python.mechine learning",2,full time
Full Stack Engineer,Lalitech,"Noida, Uttar Pradesh, India","Proficiency in JavaScript (ES6+), Webpack, Mocha, Jest
Experience with recent frontend frameworks – React.js, Redux.js, Node.js (or similar)
Deep understanding of HTML5, CSS3, SASS/LESS, and Content Management Systems
Ability to design and implement RESTful APIs and understand their impact on client-side applications
Familiarity with cloud platforms (AWS, Azure, or GCP) – deployment, storage, and scalability
Experience working with Agile and Scrum methodologies
Strong backend expertise in Java, J2EE, Spring Boot is a plus but not mandatory","Fullstack Developer, Javascript, React.js, NodeJS (Node.js), RESTful APIs, HTML/CSS, Amazon Web Services (AWS), Google Cloud Platform (GCP), Agile/Scrum, Artificial Intelligence (AI) ,Generative AI",0,internship
Full Stack Developer – Python + Angular,BIG Language Solutions,"Noida, Uttar Pradesh, Indi","Develop and maintain frontend applications using Angular (latest versions), ensuring responsive and intuitive user interfaces.
Design, implement, and optimize backend services and APIs using Python (Django, Flask, or FastAPI).
Build and integrate RESTful APIs and GraphQL services for application functionality.
Work with SQL and NoSQL databases to design schemas, queries, and data pipelines.
Ensure code quality through unit testing, integration testing, and CI/CD practices.
Collaborate with cross-functional teams (UI/UX designers, QA, DevOps) to deliver product features.
Optimize applications for performance, scalability, and security.
Participate in code reviews, agile ceremonies, and architectural discussions.","aws,azure,git,html,css,typescript,javacript",6,internship
